ACI	EGJA	Alderney Airport	Saint Anne	Guernsey	49.7061	-2.2147	Europe/London
ACJ	VCCA	Anuradhapura Air Force Base	Anuradhapura	Sri Lanka	8.3015	80.4279	Asia/Colombo
ACK	KACK	Nantucket Memorial Airport	Nantucket	United States	41.2531	-70.0602	America/New_York
ACN	MMCC	Ciudad Acuna New International Airport	Ciudad Acuna	Mexico	29.3329	-101.0990	America/Matamoros
ACP	OITM	Sahand Airport	Maragheh	Iran	37.3480	46.1279	Asia/Tehran
ACR	SKAC	Araracuara Airport	Araracuara	Colombia	-0.5833	-72.4083	America/Bogota
ACS	UNKS	Achinsk Airport	Achinsk	Russia	56.2683	90.5708	Asia/Krasnoyarsk
ACT	KACT	Waco Regional Airport	Waco	United States	31.6113	-97.2305	America/Chicago
ACV	KACV	California Redwood Coast-Humboldt County Airport	Arcata/Eureka	United States	40.9781	-124.1090	America/Los_Angeles
ACX	ZUYI	Xingyi Airport	Xingyi	China	25.0864	104.9594	Asia/Shanghai
ACY	KACY	Atlantic City International Airport	Atlantic City	United States	39.4576	-74.5772	America/New_York
ACZ	OIZB	Zabol Airport		Iran	31.0983	61.5439	Asia/Tehran
ADA	LTAF	Adana Airport	Adana	Turkey	36.9822	35.2804	Europe/Istanbul
ADB	LTBJ	Adnan Menderes International Airport	Izmir	Turkey	38.2924	27.1570	Europe/Istanbul
ADC	AYAN	Andakombe Airport	Andekombe	Papua New Guinea	-7.1372	145.7447	Pacific/Port_Moresby
ADD	HAAB	Bole International Airport	Addis Ababa	Ethiopia	8.9779	38.7993	Africa/Nairobi
ADE	OYAA	Aden International Airport	Aden	Yemen	12.8295	45.0288	Asia/Riyadh
ADF	LTCP	Adiyaman Airport	Adiyaman	Turkey	37.7314	38.4689	Europe/Istanbul
ADG	KADG	Lenawee County Airport	Adrian	United States	41.8677	-84.0773	America/Detroit
ADH	UEEA	Aldan Airport	Aldan	Russia	58.6028	125.4090	Asia/Yakutsk
ADI	FYAR	Arandis Airport	Arandis	Namibia	-22.4622	14.9800	Africa/Windhoek
ADJ	OJAM	Amman-Marka International Airport	Amman	Jordan	31.9727	35.9916	Asia/Amman
ADK	PADK	Adak Airport	Adak Island	United States	51.8780	-176.6460	America/Adak
ADL	YPAD	Adelaide International Airport	Adelaide	Australia	-34.9450	138.5310	Australia/Adelaide
ADM	KADM	Ardmore Municipal Airport	Ardmore	United States	34.3030	-97.0196	America/Chicago
ADN	SKAN	Andes Airport	Andes	Colombia	5.6667	-75.8833	America/Bogota
ADO	YAMK	Andamooka Airport		Australia	-30.4383	137.1370	Australia/Adelaide
ADP	VCCG	Ampara Airport	Ampara	Sri Lanka	7.3369	81.6303	Asia/Colombo
ADQ	PADQ	Kodiak Airport	Kodiak	United States	57.7500	-152.4940	America/Anchorage
ADR	KPHH	Robert F Swinnie Airport	Andrews	United States	33.4517	-79.5262	America/New_York
ADS	KADS	Addison Airport	Dallas	United States	32.9686	-96.8364	America/Chicago
